CATEGORÍA;ID MÉTRICA;NOMBRE MÉTRICA;EQUIPO;PERIODO;VALOR;DORSAL DEL JUGADOR;NOMBRE DEL JUGADOR;DORSAL DEL JUGADOR SECUNDARIO;NOMBRE DEL JUGADOR SECUNDARIO;ID JUGADOR;ID JUGADOR SECUNDARIO;ID EQUIPO;ID PARTIDO
ESTADÍSTICAS GENERALES;MatchEffectiveTime1T;Tiempo Efectivo Eventing (min.);RCD Mallorca;1P;29,583333333333332;;;;;;;40;11114
ESTADÍSTICAS GENERALES;MatchEffectiveTime1T;Tiempo Efectivo Eventing (min.);Real Madrid;1P;29,583333333333332;;;;;;;45;11114
ESTADÍSTICAS GENERALES;MatchEffectiveTime2T;Tiempo Efectivo Eventing (min.);RCD Mallorca;2P;32,06666666666667;;;;;;;40;11114
ESTADÍSTICAS GENERALES;MatchEffectiveTime2T;Tiempo Efectivo Eventing (min.);Real Madrid;2P;32,06666666666667;;;;;;;45;11114
ESTADÍSTICAS GENERALES;MatchEffectiveTimeTracking1T;Tiempo Efectivo Tracking (min.);RCD Mallorca;1P;30,875333333333334;;;;;;;40;11114
ESTADÍSTICAS GENERALES;MatchEffectiveTimeTracking1T;Tiempo Efectivo Tracking (min.);Real Madrid;1P;30,875333333333334;;;;;;;45;11114
ESTADÍSTICAS GENERALES;MatchEffectiveTimeTracking2T;Tiempo Efectivo Tracking (min.);RCD Mallorca;2P;32,72666666666667;;;;;;;40;11114
ESTADÍSTICAS GENERALES;MatchEffectiveTimeTracking2T;Tiempo Efectivo Tracking (min.);Real Madrid;2P;32,72666666666667;;;;;;;45;11114
ESTADÍSTICAS GENERALES;MatchTime1T;Tiempo Total (Min.);RCD Mallorca;1P;49,083333333333336;;;;;;;40;11114
ESTADÍSTICAS GENERALES;MatchTime1T;Tiempo Total (Min.);Real Madrid;1P;49,083333333333336;;;;;;;45;11114
ESTADÍSTICAS GENERALES;MatchTime2T;Tiempo Total (Min.);RCD Mallorca;2P;51,983333333333334;;;;;;;40;11114
ESTADÍSTICAS GENERALES;MatchTime2T;Tiempo Total (Min.);Real Madrid;2P;51,983333333333334;;;;;;;45;11114
ESTADÍSTICAS GENERALES;TeamScoreStatusWinning;Estado del Marcador (% Ganando);RCD Mallorca;Total Partido;0;;;;;;;40;11114
ESTADÍSTICAS GENERALES;TeamScoreStatusWinning;Estado del Marcador (% Ganando);Real Madrid;Total Partido;43,46965699208443;;;;;;;45;11114
ESTADÍSTICAS GENERALES;TeamScoreStatusTying;Estado del Marcador (% Empatando);RCD Mallorca;Total Partido;56,53034300791557;;;;;;;40;11114
