CATEGORÍA;ID MÉTRICA;NOMBRE MÉTRICA;EQUIPO;PERIODO;VALOR;DORSAL DEL JUGADOR;NOMBRE DEL JUGADOR;DORSAL DEL JUGADOR SECUNDARIO;NOMBRE DEL JUGADOR SECUNDARIO;ID JUGADOR;ID JUGADOR SECUNDARIO;ID EQUIPO;ID PARTIDO
ESTADÍSTICAS GENERALES;MatchEffectiveTime1T;Tiempo Efectivo Eventing (min.);Villarreal CF;1P;29,966666666666665;;;;;;;64;11120
ESTADÍSTICAS GENERALES;MatchEffectiveTime1T;Tiempo Efectivo Eventing (min.);Atlético de Madrid;1P;29,966666666666665;;;;;;;34;11120
ESTADÍSTICAS GENERALES;MatchEffectiveTime2T;Tiempo Efectivo Eventing (min.);Villarreal CF;2P;31,633333333333333;;;;;;;64;11120
ESTADÍSTICAS GENERALES;MatchEffectiveTime2T;Tiempo Efectivo Eventing (min.);Atlético de Madrid;2P;31,633333333333333;;;;;;;34;11120
ESTADÍSTICAS GENERALES;MatchEffectiveTimeTracking1T;Tiempo Efectivo Tracking (min.);Villarreal CF;1P;30,231333333333332;;;;;;;64;11120
ESTADÍSTICAS GENERALES;MatchEffectiveTimeTracking1T;Tiempo Efectivo Tracking (min.);Atlético de Madrid;1P;30,231333333333332;;;;;;;34;11120
ESTADÍSTICAS GENERALES;MatchEffectiveTimeTracking2T;Tiempo Efectivo Tracking (min.);Villarreal CF;2P;32,318;;;;;;;64;11120
ESTADÍSTICAS GENERALES;MatchEffectiveTimeTracking2T;Tiempo Efectivo Tracking (min.);Atlético de Madrid;2P;32,318;;;;;;;34;11120
ESTADÍSTICAS GENERALES;MatchTime1T;Tiempo Total (Min.);Villarreal CF;1P;50,35;;;;;;;64;11120
ESTADÍSTICAS GENERALES;MatchTime1T;Tiempo Total (Min.);Atlético de Madrid;1P;50,35;;;;;;;34;11120
ESTADÍSTICAS GENERALES;MatchTime2T;Tiempo Total (Min.);Villarreal CF;2P;49,93333333333334;;;;;;;64;11120
ESTADÍSTICAS GENERALES;MatchTime2T;Tiempo Total (Min.);Atlético de Madrid;2P;49,93333333333334;;;;;;;34;11120
ESTADÍSTICAS GENERALES;TeamScoreStatusWinning;Estado del Marcador (% Ganando);Villarreal CF;Total Partido;14,209739072627556;;;;;;;64;11120
ESTADÍSTICAS GENERALES;TeamScoreStatusWinning;Estado del Marcador (% Ganando);Atlético de Madrid;Total Partido;0;;;;;;;34;11120
ESTADÍSTICAS GENERALES;TeamScoreStatusTying;Estado del Marcador (% Empatando);Villarreal CF;Total Partido;85,79026092737246;;;;;;;64;11120
