CATEGORÍA;ID MÉTRICA;NOMBRE MÉTRICA;EQUIPO;PERIODO;VALOR;DORSAL DEL JUGADOR;NOMBRE DEL JUGADOR;DORSAL DEL JUGADOR SECUNDARIO;NOMBRE DEL JUGADOR SECUNDARIO;ID JUGADOR;ID JUGADOR SECUNDARIO;ID EQUIPO;ID PARTIDO
ESTADÍSTICAS GENERALES;MatchEffectiveTime1T;Tiempo Efectivo Eventing (min.);Real Valladolid CF;1P;29,366666666666667;;;;;;;51;11118
ESTADÍSTICAS GENERALES;MatchEffectiveTime1T;Tiempo Efectivo Eventing (min.);RCD Espanyol;1P;29,366666666666667;;;;;;;36;11118
ESTADÍSTICAS GENERALES;MatchEffectiveTime2T;Tiempo Efectivo Eventing (min.);Real Valladolid CF;2P;24,8;;;;;;;51;11118
ESTADÍSTICAS GENERALES;MatchEffectiveTime2T;Tiempo Efectivo Eventing (min.);RCD Espanyol;2P;24,8;;;;;;;36;11118
ESTADÍSTICAS GENERALES;MatchEffectiveTimeTracking1T;Tiempo Efectivo Tracking (min.);Real Valladolid CF;1P;30,149333333333335;;;;;;;51;11118
ESTADÍSTICAS GENERALES;MatchEffectiveTimeTracking1T;Tiempo Efectivo Tracking (min.);RCD Espanyol;1P;30,149333333333335;;;;;;;36;11118
ESTADÍSTICAS GENERALES;MatchEffectiveTimeTracking2T;Tiempo Efectivo Tracking (min.);Real Valladolid CF;2P;26,244;;;;;;;51;11118
ESTADÍSTICAS GENERALES;MatchEffectiveTimeTracking2T;Tiempo Efectivo Tracking (min.);RCD Espanyol;2P;26,244;;;;;;;36;11118
ESTADÍSTICAS GENERALES;MatchTime1T;Tiempo Total (Min.);Real Valladolid CF;1P;49,21666666666667;;;;;;;51;11118
ESTADÍSTICAS GENERALES;MatchTime1T;Tiempo Total (Min.);RCD Espanyol;1P;49,21666666666667;;;;;;;36;11118
ESTADÍSTICAS GENERALES;MatchTime2T;Tiempo Total (Min.);Real Valladolid CF;2P;51,766666666666666;;;;;;;51;11118
ESTADÍSTICAS GENERALES;MatchTime2T;Tiempo Total (Min.);RCD Espanyol;2P;51,766666666666666;;;;;;;36;11118
ESTADÍSTICAS GENERALES;TeamScoreStatusWinning;Estado del Marcador (% Ganando);Real Valladolid CF;Total Partido;78,0656874071629;;;;;;;51;11118
ESTADÍSTICAS GENERALES;TeamScoreStatusWinning;Estado del Marcador (% Ganando);RCD Espanyol;Total Partido;0;;;;;;;36;11118
ESTADÍSTICAS GENERALES;TeamScoreStatusTying;Estado del Marcador (% Empatando);Real Valladolid CF;Total Partido;21,934312592837102;;;;;;;51;11118
ESTADÍSTICAS GENERALES;TeamScoreStatusTying;Estado del Marcador (% Empatando);RCD Espanyol;Total Partido;21,934312592837102;;;;;;;36;11118
ESTADÍSTICAS GENERALES;TeamScoreStatusLosing;Estado del Marcador (% Perdiendo);Real Valladolid CF;Total Partido;0;;;;;;;51;11118
ESTADÍSTICAS GENERALES;TeamScoreStatusLosing;Estado del Marcador (% Perdiendo);RCD Espanyol;Total Partido;78,0656874071629;;;;;;;36;11118
ESTADÍSTICAS GENERALES;TeamYellowCards1T;Tarjetas Amarillas (Nº);Real Valladolid CF;1P;0;;;;;;;51;11118
ESTADÍSTICAS GENERALES;TeamYellowCards1T;Tarjetas Amarillas (Nº);RCD Espanyol;1P;0;;;;;;;36;11118
ESTADÍSTICAS GENERALES;TeamSentOff1T;Tarjetas Rojas (Nº);Real Valladolid CF;1P;0;;;;;;;51;11118
ESTADÍSTICAS GENERALES;TeamSentOff1T;Tarjetas Rojas (Nº);RCD Espanyol;1P;0;;;;;;;36;11118
ESTADÍSTICAS GENERALES;TeamYellowCards2T;Tarjetas Amarillas (Nº);Real Valladolid CF;2P;2;;;;;;;51;11118
ESTADÍSTICAS GENERALES;TeamYellowCards2T;Tarjetas Amarillas (Nº);RCD Espanyol;2P;2;;;;;;;36;11118
ESTADÍSTICAS GENERALES;TeamSentOff2T;Tarjetas Rojas (Nº);Real Valladolid CF;2P;0;;;;;;;51;11118
ESTADÍSTICAS GENERALES;TeamSentOff2T;Tarjetas Rojas (Nº);RCD Espanyol;2P;0;;;;;;;36;11118
ESTADÍSTICAS GENERALES;TeamYellowCards;Tarjetas Amarillas (Nº);Real Valladolid CF;Total Partido;2;;;;;;;51;11118
ESTADÍSTICAS GENERALES;TeamYellowCards;Tarjetas Amarillas (Nº);RCD Espanyol;Total Partido;2;;;;;;;36;11118
ESTADÍSTICAS GENERALES;TeamSentOff;Tarjetas Rojas (Nº);Real Valladolid CF;Total Partido;0;;;;;;;51;11118
ESTADÍSTICAS GENERALES;TeamSentOff;Tarjetas Rojas (Nº);RCD Espanyol;Total Partido;0;;;;;;;36;11118
CONTEXTO DEL PARTIDO;TeamOwnFieldTimeP;Ventaja Territorial (% Campo Propio);Real Valladolid CF;Total Partido;46,60574412532637;;;;;;;51;11118
CONTEXTO DEL PARTIDO;TeamOwnFieldTimeP;Ventaja Territorial (% Campo Propio);RCD Espanyol;Total Partido;53,39425587467363;;;;;;;36;11118
CONTEXTO DEL PARTIDO;TeamOwnFieldTimeTeamOwnP;Posesion de balon en campo propio (%);Real Valladolid CF;Total Partido;30,221932114882506;;;;;;;51;11118
CONTEXTO DEL PARTIDO;TeamOwnFieldTimeTeamOwnP;Posesion de balon en campo propio (%);RCD Espanyol;Total Partido;32,34334203655352;;;;;;;36;11118
CONTEXTO DEL PARTIDO;TeamOwnFieldTimeOpponentOwnP;Posesion de balon en campo rival (%);Real Valladolid CF;Total Partido;16,383812010443865;;;;;;;51;11118
CONTEXTO DEL PARTIDO;TeamOwnFieldTimeOpponentOwnP;Posesion de balon en campo rival (%);RCD Espanyol;Total Partido;21,050913838120106;;;;;;;36;11118
CONTEXTO DEL PARTIDO;TeamPossessionsTimeP;Posesión del Balón (%);Real Valladolid CF;Total Partido;51,272845953002616;;;;;;;51;11118
CONTEXTO DEL PARTIDO;TeamPossessionsTimeP;Posesión del Balón (%);RCD Espanyol;Total Partido;48,7271540469974;;;;;;;36;11118
CONTEXTO DEL PARTIDO;TeamPossessionsTimeMinutes;Posesión del Balón (Min.);Real Valladolid CF;Total Partido;26;;;;;;;51;11118
CONTEXTO DEL PARTIDO;TeamPossessionsTimeMinutes;Posesión del Balón (Min.);RCD Espanyol;Total Partido;24;;;;;;;36;11118
CONTEXTO DEL PARTIDO;TeamPossessionsTimeSeconds;Posesión del Balón (Seg.);Real Valladolid CF;Total Partido;11;;;;;;;51;11118
CONTEXTO DEL PARTIDO;TeamPossessionsTimeSeconds;Posesión del Balón (Seg.);RCD Espanyol;Total Partido;53;;;;;;;36;11118
CONTEXTO DEL PARTIDO;TeamPossessions;Posesión del Balón (Nº);Real Valladolid CF;Total Partido;91;;;;;;;51;11118
CONTEXTO DEL PARTIDO;TeamPossessions;Posesión del Balón (Nº);RCD Espanyol;Total Partido;92;;;;;;;36;11118
