CATEGORÍA;ID MÉTRICA;NOMBRE MÉTRICA;EQUIPO;PERIODO;VALOR;DORSAL DEL JUGADOR;NOMBRE DEL JUGADOR;DORSAL DEL JUGADOR SECUNDARIO;NOMBRE DEL JUGADOR SECUNDARIO;ID JUGADOR;ID JUGADOR SECUNDARIO;ID EQUIPO;ID PARTIDO
ESTADÍSTICAS GENERALES;MatchEffectiveTime1T;Tiempo Efectivo Eventing (min.);CA Osasuna;1P;24,466666666666665;;;;;;;65;11115
ESTADÍSTICAS GENERALES;MatchEffectiveTime1T;Tiempo Efectivo Eventing (min.);CD Leganés;1P;24,466666666666665;;;;;;;82;11115
ESTADÍSTICAS GENERALES;MatchEffectiveTime2T;Tiempo Efectivo Eventing (min.);CA Osasuna;2P;26,166666666666668;;;;;;;65;11115
ESTADÍSTICAS GENERALES;MatchEffectiveTime2T;Tiempo Efectivo Eventing (min.);CD Leganés;2P;26,166666666666668;;;;;;;82;11115
ESTADÍSTICAS GENERALES;MatchEffectiveTimeTracking1T;Tiempo Efectivo Tracking (min.);CA Osasuna;1P;26,555333333333333;;;;;;;65;11115
ESTADÍSTICAS GENERALES;MatchEffectiveTimeTracking1T;Tiempo Efectivo Tracking (min.);CD Leganés;1P;26,555333333333333;;;;;;;82;11115
ESTADÍSTICAS GENERALES;MatchEffectiveTimeTracking2T;Tiempo Efectivo Tracking (min.);CA Osasuna;2P;27,130666666666666;;;;;;;65;11115
ESTADÍSTICAS GENERALES;MatchEffectiveTimeTracking2T;Tiempo Efectivo Tracking (min.);CD Leganés;2P;27,130666666666666;;;;;;;82;11115
ESTADÍSTICAS GENERALES;MatchTime1T;Tiempo Total (Min.);CA Osasuna;1P;49,96666666666667;;;;;;;65;11115
ESTADÍSTICAS GENERALES;MatchTime1T;Tiempo Total (Min.);CD Leganés;1P;49,96666666666667;;;;;;;82;11115
ESTADÍSTICAS GENERALES;MatchTime2T;Tiempo Total (Min.);CA Osasuna;2P;49,53333333333333;;;;;;;65;11115
ESTADÍSTICAS GENERALES;MatchTime2T;Tiempo Total (Min.);CD Leganés;2P;49,53333333333333;;;;;;;82;11115
ESTADÍSTICAS GENERALES;TeamScoreStatusWinning;Estado del Marcador (% Ganando);CA Osasuna;Total Partido;0;;;;;;;65;11115
ESTADÍSTICAS GENERALES;TeamScoreStatusWinning;Estado del Marcador (% Ganando);CD Leganés;Total Partido;62,51256281407035;;;;;;;82;11115
