CATEGORÍA;ID MÉTRICA;NOMBRE MÉTRICA;EQUIPO;PERIODO;VALOR;DORSAL DEL JUGADOR;NOMBRE DEL JUGADOR;DORSAL DEL JUGADOR SECUNDARIO;NOMBRE DEL JUGADOR SECUNDARIO;ID JUGADOR;ID JUGADOR SECUNDARIO;ID EQUIPO;ID PARTIDO
ESTADÍSTICAS GENERALES;MatchEffectiveTime1T;Tiempo Efectivo Eventing (min.);Valencia CF;1P;27,8;;;;;;;50;11119
ESTADÍSTICAS GENERALES;MatchEffectiveTime1T;Tiempo Efectivo Eventing (min.);FC Barcelona;1P;27,8;;;;;;;37;11119
ESTADÍSTICAS GENERALES;MatchEffectiveTime2T;Tiempo Efectivo Eventing (min.);Valencia CF;2P;26,683333333333334;;;;;;;50;11119
ESTADÍSTICAS GENERALES;MatchEffectiveTime2T;Tiempo Efectivo Eventing (min.);FC Barcelona;2P;26,683333333333334;;;;;;;37;11119
ESTADÍSTICAS GENERALES;MatchEffectiveTimeTracking1T;Tiempo Efectivo Tracking (min.);Valencia CF;1P;29,746666666666666;;;;;;;50;11119
ESTADÍSTICAS GENERALES;MatchEffectiveTimeTracking1T;Tiempo Efectivo Tracking (min.);FC Barcelona;1P;29,746666666666666;;;;;;;37;11119
ESTADÍSTICAS GENERALES;MatchEffectiveTimeTracking2T;Tiempo Efectivo Tracking (min.);Valencia CF;2P;27,575333333333333;;;;;;;50;11119
ESTADÍSTICAS GENERALES;MatchEffectiveTimeTracking2T;Tiempo Efectivo Tracking (min.);FC Barcelona;2P;27,575333333333333;;;;;;;37;11119
ESTADÍSTICAS GENERALES;MatchTime1T;Tiempo Total (Min.);Valencia CF;1P;51,06666666666667;;;;;;;50;11119
ESTADÍSTICAS GENERALES;MatchTime1T;Tiempo Total (Min.);FC Barcelona;1P;51,06666666666667;;;;;;;37;11119
ESTADÍSTICAS GENERALES;MatchTime2T;Tiempo Total (Min.);Valencia CF;2P;52,58333333333333;;;;;;;50;11119
ESTADÍSTICAS GENERALES;MatchTime2T;Tiempo Total (Min.);FC Barcelona;2P;52,58333333333333;;;;;;;37;11119
ESTADÍSTICAS GENERALES;TeamScoreStatusWinning;Estado del Marcador (% Ganando);Valencia CF;Total Partido;6,608779546550892;;;;;;;50;11119
ESTADÍSTICAS GENERALES;TeamScoreStatusWinning;Estado del Marcador (% Ganando);FC Barcelona;Total Partido;47,7086348287506;;;;;;;37;11119
ESTADÍSTICAS GENERALES;TeamScoreStatusTying;Estado del Marcador (% Empatando);Valencia CF;Total Partido;45,682585624698504;;;;;;;50;11119
ESTADÍSTICAS GENERALES;TeamScoreStatusTying;Estado del Marcador (% Empatando);FC Barcelona;Total Partido;45,682585624698504;;;;;;;37;11119
