CATEGORÍA;ID MÉTRICA;NOMBRE MÉTRICA;EQUIPO;PERIODO;VALOR;DORSAL DEL JUGADOR;NOMBRE DEL JUGADOR;DORSAL DEL JUGADOR SECUNDARIO;NOMBRE DEL JUGADOR SECUNDARIO;ID JUGADOR;ID JUGADOR SECUNDARIO;ID EQUIPO;ID PARTIDO
ESTADÍSTICAS GENERALES;MatchEffectiveTime1T;Tiempo Efectivo Eventing (min.);UD Las Palmas;1P;24,8;;;;;;;62;11113
ESTADÍSTICAS GENERALES;MatchEffectiveTime1T;Tiempo Efectivo Eventing (min.);Sevilla FC;1P;24,8;;;;;;;38;11113
ESTADÍSTICAS GENERALES;MatchEffectiveTime2T;Tiempo Efectivo Eventing (min.);UD Las Palmas;2P;29,233333333333334;;;;;;;62;11113
ESTADÍSTICAS GENERALES;MatchEffectiveTime2T;Tiempo Efectivo Eventing (min.);Sevilla FC;2P;29,233333333333334;;;;;;;38;11113
ESTADÍSTICAS GENERALES;MatchEffectiveTimeTracking1T;Tiempo Efectivo Tracking (min.);UD Las Palmas;1P;27,099333333333334;;;;;;;62;11113
ESTADÍSTICAS GENERALES;MatchEffectiveTimeTracking1T;Tiempo Efectivo Tracking (min.);Sevilla FC;1P;27,099333333333334;;;;;;;38;11113
ESTADÍSTICAS GENERALES;MatchEffectiveTimeTracking2T;Tiempo Efectivo Tracking (min.);UD Las Palmas;2P;29,974;;;;;;;62;11113
ESTADÍSTICAS GENERALES;MatchEffectiveTimeTracking2T;Tiempo Efectivo Tracking (min.);Sevilla FC;2P;29,974;;;;;;;38;11113
ESTADÍSTICAS GENERALES;MatchTime1T;Tiempo Total (Min.);UD Las Palmas;1P;46,88333333333333;;;;;;;62;11113
ESTADÍSTICAS GENERALES;MatchTime1T;Tiempo Total (Min.);Sevilla FC;1P;46,88333333333333;;;;;;;38;11113
ESTADÍSTICAS GENERALES;MatchTime2T;Tiempo Total (Min.);UD Las Palmas;2P;52,13333333333334;;;;;;;62;11113
ESTADÍSTICAS GENERALES;MatchTime2T;Tiempo Total (Min.);Sevilla FC;2P;52,13333333333334;;;;;;;38;11113
ESTADÍSTICAS GENERALES;TeamScoreStatusWinning;Estado del Marcador (% Ganando);UD Las Palmas;Total Partido;0;;;;;;;62;11113
ESTADÍSTICAS GENERALES;TeamScoreStatusWinning;Estado del Marcador (% Ganando);Sevilla FC;Total Partido;26,98198956404645;;;;;;;38;11113
ESTADÍSTICAS GENERALES;TeamScoreStatusTying;Estado del Marcador (% Empatando);UD Las Palmas;Total Partido;73,01801043595353;;;;;;;62;11113
ESTADÍSTICAS GENERALES;TeamScoreStatusTying;Estado del Marcador (% Empatando);Sevilla FC;Total Partido;73,01801043595353;;;;;;;38;11113
ESTADÍSTICAS GENERALES;TeamScoreStatusLosing;Estado del Marcador (% Perdiendo);UD Las Palmas;Total Partido;26,98198956404645;;;;;;;62;11113
ESTADÍSTICAS GENERALES;TeamScoreStatusLosing;Estado del Marcador (% Perdiendo);Sevilla FC;Total Partido;0;;;;;;;38;11113
ESTADÍSTICAS GENERALES;TeamYellowCards1T;Tarjetas Amarillas (Nº);UD Las Palmas;1P;0;;;;;;;62;11113
ESTADÍSTICAS GENERALES;TeamYellowCards1T;Tarjetas Amarillas (Nº);Sevilla FC;1P;1;;;;;;;38;11113
ESTADÍSTICAS GENERALES;TeamSentOff1T;Tarjetas Rojas (Nº);UD Las Palmas;1P;0;;;;;;;62;11113
ESTADÍSTICAS GENERALES;TeamSentOff1T;Tarjetas Rojas (Nº);Sevilla FC;1P;0;;;;;;;38;11113
ESTADÍSTICAS GENERALES;TeamYellowCards2T;Tarjetas Amarillas (Nº);UD Las Palmas;2P;2;;;;;;;62;11113
ESTADÍSTICAS GENERALES;TeamYellowCards2T;Tarjetas Amarillas (Nº);Sevilla FC;2P;1;;;;;;;38;11113
ESTADÍSTICAS GENERALES;TeamSentOff2T;Tarjetas Rojas (Nº);UD Las Palmas;2P;0;;;;;;;62;11113
ESTADÍSTICAS GENERALES;TeamSentOff2T;Tarjetas Rojas (Nº);Sevilla FC;2P;0;;;;;;;38;11113
