CATEGORÍA;ID MÉTRICA;NOMBRE MÉTRICA;EQUIPO;PERIODO;VALOR;DORSAL DEL JUGADOR;NOMBRE DEL JUGADOR;ID JUGADOR;ID EQUIPO;ID PARTIDO
ESTADÍSTICAS GENERALES;TeamPossessionsTimeP1T;Posesión del Balón (%);Real Sociedad;1P;63,78151260504201;;;;47;11117
ESTADÍSTICAS GENERALES;TeamPossessionsTimeP1T;Posesión del Balón (%);Rayo Vallecano;1P;36,21848739495798;;;;43;11117
ESTADÍSTICAS GENERALES;TeamPossessions;Posesión del Balón (Nº);Real Sociedad;Total Partido;108;;;;47;11117
ESTADÍSTICAS GENERALES;TeamPossessions;Posesión del Balón (Nº);Rayo Vallecano;Total Partido;91;;;;43;11117
ESTADÍSTICAS GENERALES;TeamPossessionsTimeP;Posesión del Balón (%);Real Sociedad;Total Partido;67,09803921568627;;;;47;11117
ESTADÍSTICAS GENERALES;TeamPossessionsTimeP;Posesión del Balón (%);Rayo Vallecano;Total Partido;32,90196078431372;;;;43;11117
ESTADÍSTICAS GENERALES;TeamPossessionsTimeMinutes;Posesión del Balón (Min);Real Sociedad;Total Partido;28;;;;47;11117
ESTADÍSTICAS GENERALES;TeamPossessionsTimeMinutes;Posesión del Balón (Min);Rayo Vallecano;Total Partido;13;;;;43;11117
ESTADÍSTICAS GENERALES;TeamPossessionsTimeSeconds;Posesión del Balón (Sec);Real Sociedad;Total Partido;31;;;;47;11117
ESTADÍSTICAS GENERALES;TeamPossessionsTimeSeconds;Posesión del Balón (Sec);Rayo Vallecano;Total Partido;58;;;;43;11117
ESTADÍSTICAS GENERALES;TeamYellowCards1T;Tarjetas Amarillas (Nº);Real Sociedad;1P;1;;;;47;11117
ESTADÍSTICAS GENERALES;TeamYellowCards1T;Tarjetas Amarillas (Nº);Rayo Vallecano;1P;1;;;;43;11117
ESTADÍSTICAS GENERALES;TeamSentOff1T;Tarjetas Rojas (Nº);Real Sociedad;1P;0;;;;47;11117
ESTADÍSTICAS GENERALES;TeamSentOff1T;Tarjetas Rojas (Nº);Rayo Vallecano;1P;0;;;;43;11117
ESTADÍSTICAS GENERALES;TeamYellowCards2T;Tarjetas Amarillas (Nº);Real Sociedad;2P;1;;;;47;11117
