CATEGORÍA;ID MÉTRICA;NOMBRE MÉTRICA;EQUIPO;PERIODO;VALOR;DORSAL DEL JUGADOR;NOMBRE DEL JUGADOR;ID JUGADOR;ID EQUIPO;ID PARTIDO
ESTADÍSTICAS GENERALES;TeamPossessionsTimeP1T;Posesión del Balón (%);Athletic Club;1P;66,8807994289793;;;;33;11111
ESTADÍSTICAS GENERALES;TeamPossessionsTimeP1T;Posesión del Balón (%);Getafe CF;1P;33,1192005710207;;;;89;11111
ESTADÍSTICAS GENERALES;TeamPossessions;Posesión del Balón (Nº);Athletic Club;Total Partido;99;;;;33;11111
ESTADÍSTICAS GENERALES;TeamPossessions;Posesión del Balón (Nº);Getafe CF;Total Partido;91;;;;89;11111
ESTADÍSTICAS GENERALES;TeamPossessionsTimeP;Posesión del Balón (%);Athletic Club;Total Partido;67,82506833268253;;;;33;11111
ESTADÍSTICAS GENERALES;TeamPossessionsTimeP;Posesión del Balón (%);Getafe CF;Total Partido;32,17493166731745;;;;89;11111
ESTADÍSTICAS GENERALES;TeamPossessionsTimeMinutes;Posesión del Balón (Min);Athletic Club;Total Partido;28;;;;33;11111
ESTADÍSTICAS GENERALES;TeamPossessionsTimeMinutes;Posesión del Balón (Min);Getafe CF;Total Partido;13;;;;89;11111
ESTADÍSTICAS GENERALES;TeamPossessionsTimeSeconds;Posesión del Balón (Sec);Athletic Club;Total Partido;57;;;;33;11111
ESTADÍSTICAS GENERALES;TeamPossessionsTimeSeconds;Posesión del Balón (Sec);Getafe CF;Total Partido;43;;;;89;11111
ESTADÍSTICAS GENERALES;TeamYellowCards1T;Tarjetas Amarillas (Nº);Athletic Club;1P;0;;;;33;11111
ESTADÍSTICAS GENERALES;TeamYellowCards1T;Tarjetas Amarillas (Nº);Getafe CF;1P;1;;;;89;11111
ESTADÍSTICAS GENERALES;TeamSentOff1T;Tarjetas Rojas (Nº);Athletic Club;1P;0;;;;33;11111
ESTADÍSTICAS GENERALES;TeamSentOff1T;Tarjetas Rojas (Nº);Getafe CF;1P;0;;;;89;11111
ESTADÍSTICAS GENERALES;TeamYellowCards2T;Tarjetas Amarillas (Nº);Athletic Club;2P;4;;;;33;11111
ESTADÍSTICAS GENERALES;TeamYellowCards2T;Tarjetas Amarillas (Nº);Getafe CF;2P;0;;;;89;11111
ESTADÍSTICAS GENERALES;TeamSentOff2T;Tarjetas Rojas (Nº);Athletic Club;2P;0;;;;33;11111
ESTADÍSTICAS GENERALES;TeamSentOff2T;Tarjetas Rojas (Nº);Getafe CF;2P;0;;;;89;11111
ESTADÍSTICAS GENERALES;TeamYellowCards;Tarjetas Amarillas (Nº);Athletic Club;Total Partido;4;;;;33;11111
ESTADÍSTICAS GENERALES;TeamYellowCards;Tarjetas Amarillas (Nº);Getafe CF;Total Partido;1;;;;89;11111
ESTADÍSTICAS GENERALES;TeamSentOff;Tarjetas Rojas (Nº);Athletic Club;Total Partido;0;;;;33;11111
ESTADÍSTICAS GENERALES;TeamSentOff;Tarjetas Rojas (Nº);Getafe CF;Total Partido;0;;;;89;11111
ESTADÍSTICAS GENERALES;MatchEffectiveTime1T;Tiempo Efectivo Eventing (min.);Athletic Club;1P;25,133333333333333;;;;33;11111
ESTADÍSTICAS GENERALES;MatchEffectiveTime1T;Tiempo Efectivo Eventing (min.);Getafe CF;1P;25,133333333333333;;;;89;11111
ESTADÍSTICAS GENERALES;MatchEffectiveTime2T;Tiempo Efectivo Eventing (min.);Athletic Club;2P;20,116666666666667;;;;33;11111
ESTADÍSTICAS GENERALES;MatchEffectiveTime2T;Tiempo Efectivo Eventing (min.);Getafe CF;2P;20,116666666666667;;;;89;11111
ESTADÍSTICAS GENERALES;MatchEffectiveTimeTracking1T;Tiempo Efectivo Tracking (min.);Athletic Club;1P;26,876666666666665;;;;33;11111
ESTADÍSTICAS GENERALES;MatchEffectiveTimeTracking1T;Tiempo Efectivo Tracking (min.);Getafe CF;1P;26,876666666666665;;;;89;11111
ESTADÍSTICAS GENERALES;MatchEffectiveTimeTracking2T;Tiempo Efectivo Tracking (min.);Athletic Club;2P;21,64;;;;33;11111
ESTADÍSTICAS GENERALES;MatchEffectiveTimeTracking2T;Tiempo Efectivo Tracking (min.);Getafe CF;2P;21,64;;;;89;11111
ESTADÍSTICAS GENERALES;MatchTime1T;Tiempo Total (Min.);Athletic Club;1P;52,65;;;;33;11111
ESTADÍSTICAS GENERALES;MatchTime1T;Tiempo Total (Min.);Getafe CF;1P;52,65;;;;89;11111
ESTADÍSTICAS GENERALES;MatchTime2T;Tiempo Total (Min.);Athletic Club;2P;50,11666666666666;;;;33;11111
ESTADÍSTICAS GENERALES;MatchTime2T;Tiempo Total (Min.);Getafe CF;2P;50,11666666666666;;;;89;11111
ESTADÍSTICAS GENERALES;TeamScoreStatusWinning;Estado del Marcador (% Ganando);Athletic Club;Total Partido;43,65877392150504;;;;33;11111
ESTADÍSTICAS GENERALES;TeamScoreStatusWinning;Estado del Marcador (% Ganando);Getafe CF;Total Partido;0;;;;89;11111
ESTADÍSTICAS GENERALES;TeamScoreStatusTying;Estado del Marcador (% Empatando);Athletic Club;Total Partido;56,341226078494984;;;;33;11111
ESTADÍSTICAS GENERALES;TeamScoreStatusTying;Estado del Marcador (% Empatando);Getafe CF;Total Partido;56,341226078494984;;;;89;11111
ESTADÍSTICAS GENERALES;TeamScoreStatusLosing;Estado del Marcador (% Perdiendo);Athletic Club;Total Partido;0;;;;33;11111
ESTADÍSTICAS GENERALES;TeamScoreStatusLosing;Estado del Marcador (% Perdiendo);Getafe CF;Total Partido;43,65877392150504;;;;89;11111
ESTADÍSTICAS GENERALES;TeamPossessionsOwnField;Posesión Balón 1/2 campo propio (Nº);Athletic Club;Total Partido;63;;;;33;11111
ESTADÍSTICAS GENERALES;TeamPossessionsOwnField;Posesión Balón 1/2 campo propio (Nº);Getafe CF;Total Partido;53;;;;89;11111
ESTADÍSTICAS GENERALES;TeamPossessionsTimeOwnFieldP;Posesión Balón 1/2 campo propio (%);Athletic Club;Total Partido;70,40875071963154;;;;33;11111
ESTADÍSTICAS GENERALES;TeamPossessionsTimeOwnFieldP;Posesión Balón 1/2 campo propio (%);Getafe CF;Total Partido;70,87378640776699;;;;89;11111
ESTADÍSTICAS GENERALES;TeamPossessionsTimeOwnFieldMinutes;Posesión Balón 1/2 campo propio (Min.);Athletic Club;Total Partido;20;;;;33;11111
ESTADÍSTICAS GENERALES;TeamPossessionsTimeOwnFieldMinutes;Posesión Balón 1/2 campo propio (Min.);Getafe CF;Total Partido;9;;;;89;11111
ESTADÍSTICAS GENERALES;TeamPossessionsTimeOwnFieldSeconds;Posesión Balón 1/2 campo propio (Seg.);Athletic Club;Total Partido;23;;;;33;11111
ESTADÍSTICAS GENERALES;TeamPossessionsTimeOwnFieldSeconds;Posesión Balón 1/2 campo propio (Seg.);Getafe CF;Total Partido;43;;;;89;11111
ESTADÍSTICAS GENERALES;TeamPossessionsOpponentField;Posesión Balón 1/2 campo rival (Nº);Athletic Club;Total Partido;36;;;;33;11111
ESTADÍSTICAS GENERALES;TeamPossessionsOpponentField;Posesión Balón 1/2 campo rival (Nº);Getafe CF;Total Partido;38;;;;89;11111
ESTADÍSTICAS GENERALES;TeamPossessionsTimeOpponentFieldP;Posesión Balón 1/2 campo rival (%);Athletic Club;Total Partido;29,59124928036845;;;;33;11111
ESTADÍSTICAS GENERALES;TeamPossessionsTimeOpponentFieldP;Posesión Balón 1/2 campo rival (%);Getafe CF;Total Partido;29,12621359223301;;;;89;11111
ESTADÍSTICAS GENERALES;TeamPossessionsTimeOpponentFieldMinutes;Posesión Balón 1/2 campo propio (Min.);Athletic Club;Total Partido;8;;;;33;11111
ESTADÍSTICAS GENERALES;TeamPossessionsTimeOpponentFieldMinutes;Posesión Balón 1/2 campo propio (Min.);Getafe CF;Total Partido;4;;;;89;11111
ESTADÍSTICAS GENERALES;TeamPossessionsTimeOpponentFieldSeconds;Posesión Balón 1/2 campo propio (Seg.);Athletic Club;Total Partido;34;;;;33;11111
ESTADÍSTICAS GENERALES;TeamPossessionsTimeOpponentFieldSeconds;Posesión Balón 1/2 campo propio (Seg.);Getafe CF;Total Partido;0;;;;89;11111
ESTADÍSTICAS GENERALES;TeamPossessionsTimeP0To15;Posesión Balón minuto 0 a minuto 15 (%);Athletic Club;Total Partido;69,09975669099757;;;;33;11111
ESTADÍSTICAS GENERALES;TeamPossessionsTimeP0To15;Posesión Balón minuto 0 a minuto 15 (%);Getafe CF;Total Partido;30,900243309002434;;;;89;11111
ESTADÍSTICAS GENERALES;TeamPossessionsTimeP0To30;Posesión Balón minuto 0 a minuto 30 (%);Athletic Club;Total Partido;63,00268096514745;;;;33;11111
ESTADÍSTICAS GENERALES;TeamPossessionsTimeP0To30;Posesión Balón minuto 0 a minuto 30 (%);Getafe CF;Total Partido;36,997319034852545;;;;89;11111
ESTADÍSTICAS GENERALES;TeamPossessionsTimeP0To45;Posesión Balón minuto 0 a minuto 45 (%);Athletic Club;Total Partido;69,67285587975242;;;;33;11111
ESTADÍSTICAS GENERALES;TeamPossessionsTimeP0To45;Posesión Balón minuto 0 a minuto 45 (%);Getafe CF;Total Partido;30,327144120247564;;;;89;11111
ESTADÍSTICAS GENERALES;TeamPossessionsTimeP0To60;Posesión Balón minuto 0 a minuto 60 (%);Athletic Club;Total Partido;64,38195664909198;;;;33;11111
ESTADÍSTICAS GENERALES;TeamPossessionsTimeP0To60;Posesión Balón minuto 0 a minuto 60 (%);Getafe CF;Total Partido;35,618043350908025;;;;89;11111
ESTADÍSTICAS GENERALES;TeamPossessionsTimeP0To75;Posesión Balón minuto 0 a minuto 75 (%);Athletic Club;Total Partido;64,66892218463025;;;;33;11111
ESTADÍSTICAS GENERALES;TeamPossessionsTimeP0To75;Posesión Balón minuto 0 a minuto 75 (%);Getafe CF;Total Partido;35,33107781536974;;;;89;11111
ESTADÍSTICAS GENERALES;TeamPossessionsTimeP0To90;Posesión Balón minuto 0 a minuto 90 (%);Athletic Club;Total Partido;66,19365609348915;;;;33;11111
ESTADÍSTICAS GENERALES;TeamPossessionsTimeP0To90;Posesión Balón minuto 0 a minuto 90 (%);Getafe CF;Total Partido;33,80634390651085;;;;89;11111
