CATEGORÍA;ID MÉTRICA;NOMBRE MÉTRICA;EQUIPO;PERIODO;VALOR;DORSAL DEL JUGADOR;NOMBRE DEL JUGADOR;ID JUGADOR;ID EQUIPO;ID PARTIDO
ESTADÍSTICAS GENERALES;TeamPossessionsTimeP1T;Posesión del Balón (%);Real Betis;1P;45,44883866917766;;;;44;11116
ESTADÍSTICAS GENERALES;TeamPossessionsTimeP1T;Posesión del Balón (%);Girona FC;1P;54,55116133082235;;;;110;11116
ESTADÍSTICAS GENERALES;TeamPossessions;Posesión del Balón (Nº);Real Betis;Total Partido;83;;;;44;11116
ESTADÍSTICAS GENERALES;TeamPossessions;Posesión del Balón (Nº);Girona FC;Total Partido;96;;;;110;11116
ESTADÍSTICAS GENERALES;TeamPossessionsTimeP;Posesión del Balón (%);Real Betis;Total Partido;40,99286563614745;;;;44;11116
ESTADÍSTICAS GENERALES;TeamPossessionsTimeP;Posesión del Balón (%);Girona FC;Total Partido;59,007134363852565;;;;110;11116
ESTADÍSTICAS GENERALES;TeamPossessionsTimeMinutes;Posesión del Balón (Min);Real Betis;Total Partido;22;;;;44;11116
ESTADÍSTICAS GENERALES;TeamPossessionsTimeMinutes;Posesión del Balón (Min);Girona FC;Total Partido;33;;;;110;11116
ESTADÍSTICAS GENERALES;TeamPossessionsTimeSeconds;Posesión del Balón (Sec);Real Betis;Total Partido;59;;;;44;11116
ESTADÍSTICAS GENERALES;TeamPossessionsTimeSeconds;Posesión del Balón (Sec);Girona FC;Total Partido;5;;;;110;11116
ESTADÍSTICAS GENERALES;TeamYellowCards1T;Tarjetas Amarillas (Nº);Real Betis;1P;0;;;;44;11116
ESTADÍSTICAS GENERALES;TeamYellowCards1T;Tarjetas Amarillas (Nº);Girona FC;1P;0;;;;110;11116
ESTADÍSTICAS GENERALES;TeamSentOff1T;Tarjetas Rojas (Nº);Real Betis;1P;0;;;;44;11116
ESTADÍSTICAS GENERALES;TeamSentOff1T;Tarjetas Rojas (Nº);Girona FC;1P;0;;;;110;11116
ESTADÍSTICAS GENERALES;TeamYellowCards2T;Tarjetas Amarillas (Nº);Real Betis;2P;2;;;;44;11116
ESTADÍSTICAS GENERALES;TeamYellowCards2T;Tarjetas Amarillas (Nº);Girona FC;2P;0;;;;110;11116
ESTADÍSTICAS GENERALES;TeamSentOff2T;Tarjetas Rojas (Nº);Real Betis;2P;0;;;;44;11116
ESTADÍSTICAS GENERALES;TeamSentOff2T;Tarjetas Rojas (Nº);Girona FC;2P;0;;;;110;11116
ESTADÍSTICAS GENERALES;TeamYellowCards;Tarjetas Amarillas (Nº);Real Betis;Total Partido;2;;;;44;11116
ESTADÍSTICAS GENERALES;TeamYellowCards;Tarjetas Amarillas (Nº);Girona FC;Total Partido;0;;;;110;11116
ESTADÍSTICAS GENERALES;TeamSentOff;Tarjetas Rojas (Nº);Real Betis;Total Partido;0;;;;44;11116
ESTADÍSTICAS GENERALES;TeamSentOff;Tarjetas Rojas (Nº);Girona FC;Total Partido;0;;;;110;11116
ESTADÍSTICAS GENERALES;MatchEffectiveTime1T;Tiempo Efectivo Eventing (min.);Real Betis;1P;28,05;;;;44;11116
ESTADÍSTICAS GENERALES;MatchEffectiveTime1T;Tiempo Efectivo Eventing (min.);Girona FC;1P;28,05;;;;110;11116
ESTADÍSTICAS GENERALES;MatchEffectiveTime2T;Tiempo Efectivo Eventing (min.);Real Betis;2P;30,933333333333334;;;;44;11116
ESTADÍSTICAS GENERALES;MatchEffectiveTime2T;Tiempo Efectivo Eventing (min.);Girona FC;2P;30,933333333333334;;;;110;11116
ESTADÍSTICAS GENERALES;MatchEffectiveTimeTracking1T;Tiempo Efectivo Tracking (min.);Real Betis;1P;28,578;;;;44;11116
ESTADÍSTICAS GENERALES;MatchEffectiveTimeTracking1T;Tiempo Efectivo Tracking (min.);Girona FC;1P;28,578;;;;110;11116
ESTADÍSTICAS GENERALES;MatchEffectiveTimeTracking2T;Tiempo Efectivo Tracking (min.);Real Betis;2P;31,463333333333335;;;;44;11116
ESTADÍSTICAS GENERALES;MatchEffectiveTimeTracking2T;Tiempo Efectivo Tracking (min.);Girona FC;2P;31,463333333333335;;;;110;11116
