CATEGORÍA;ID MÉTRICA;NOMBRE MÉTRICA;EQUIPO;PERIODO;VALOR;DORSAL DEL JUGADOR;NOMBRE DEL JUGADOR;ID JUGADOR;ID EQUIPO;ID PARTIDO
ESTADÍSTICAS GENERALES;TeamPossessionsTimeP1T;Posesión del Balón (%);CA Osasuna;1P;55,2821997105644;;;;65;11115
ESTADÍSTICAS GENERALES;TeamPossessionsTimeP1T;Posesión del Balón (%);CD Leganés;1P;44,7178002894356;;;;82;11115
ESTADÍSTICAS GENERALES;TeamPossessions;Posesión del Balón (Nº);CA Osasuna;Total Partido;103;;;;65;11115
ESTADÍSTICAS GENERALES;TeamPossessions;Posesión del Balón (Nº);CD Leganés;Total Partido;95;;;;82;11115
ESTADÍSTICAS GENERALES;TeamPossessionsTimeP;Posesión del Balón (%);CA Osasuna;Total Partido;58,2089552238806;;;;65;11115
ESTADÍSTICAS GENERALES;TeamPossessionsTimeP;Posesión del Balón (%);CD Leganés;Total Partido;41,791044776119406;;;;82;11115
ESTADÍSTICAS GENERALES;TeamPossessionsTimeMinutes;Posesión del Balón (Min);CA Osasuna;Total Partido;27;;;;65;11115
ESTADÍSTICAS GENERALES;TeamPossessionsTimeMinutes;Posesión del Balón (Min);CD Leganés;Total Partido;20;;;;82;11115
ESTADÍSTICAS GENERALES;TeamPossessionsTimeSeconds;Posesión del Balón (Sec);CA Osasuna;Total Partido;57;;;;65;11115
ESTADÍSTICAS GENERALES;TeamPossessionsTimeSeconds;Posesión del Balón (Sec);CD Leganés;Total Partido;4;;;;82;11115
ESTADÍSTICAS GENERALES;TeamYellowCards1T;Tarjetas Amarillas (Nº);CA Osasuna;1P;0;;;;65;11115
ESTADÍSTICAS GENERALES;TeamYellowCards1T;Tarjetas Amarillas (Nº);CD Leganés;1P;1;;;;82;11115
ESTADÍSTICAS GENERALES;TeamSentOff1T;Tarjetas Rojas (Nº);CA Osasuna;1P;0;;;;65;11115
ESTADÍSTICAS GENERALES;TeamSentOff1T;Tarjetas Rojas (Nº);CD Leganés;1P;0;;;;82;11115
ESTADÍSTICAS GENERALES;TeamYellowCards2T;Tarjetas Amarillas (Nº);CA Osasuna;2P;3;;;;65;11115
ESTADÍSTICAS GENERALES;TeamYellowCards2T;Tarjetas Amarillas (Nº);CD Leganés;2P;1;;;;82;11115
ESTADÍSTICAS GENERALES;TeamSentOff2T;Tarjetas Rojas (Nº);CA Osasuna;2P;0;;;;65;11115
ESTADÍSTICAS GENERALES;TeamSentOff2T;Tarjetas Rojas (Nº);CD Leganés;2P;0;;;;82;11115
ESTADÍSTICAS GENERALES;TeamYellowCards;Tarjetas Amarillas (Nº);CA Osasuna;Total Partido;3;;;;65;11115
ESTADÍSTICAS GENERALES;TeamYellowCards;Tarjetas Amarillas (Nº);CD Leganés;Total Partido;2;;;;82;11115
ESTADÍSTICAS GENERALES;TeamSentOff;Tarjetas Rojas (Nº);CA Osasuna;Total Partido;0;;;;65;11115
