CATEGORÍA;ID MÉTRICA;NOMBRE MÉTRICA;EQUIPO;PERIODO;VALOR;DORSAL DEL JUGADOR;NOMBRE DEL JUGADOR;ID JUGADOR;ID EQUIPO;ID PARTIDO
ESTADÍSTICAS GENERALES;TeamPossessionsTimeP1T;Posesión del Balón (%);UD Las Palmas;1P;51,96078431372549;;;;62;11113
ESTADÍSTICAS GENERALES;TeamPossessionsTimeP1T;Posesión del Balón (%);Sevilla FC;1P;48,0392156862745;;;;38;11113
ESTADÍSTICAS GENERALES;TeamPossessions;Posesión del Balón (Nº);UD Las Palmas;Total Partido;98;;;;62;11113
ESTADÍSTICAS GENERALES;TeamPossessions;Posesión del Balón (Nº);Sevilla FC;Total Partido;95;;;;38;11113
ESTADÍSTICAS GENERALES;TeamPossessionsTimeP;Posesión del Balón (%);UD Las Palmas;Total Partido;48,32411324438659;;;;62;11113
ESTADÍSTICAS GENERALES;TeamPossessionsTimeP;Posesión del Balón (%);Sevilla FC;Total Partido;51,675886755613405;;;;38;11113
ESTADÍSTICAS GENERALES;TeamPossessionsTimeMinutes;Posesión del Balón (Min);UD Las Palmas;Total Partido;24;;;;62;11113
ESTADÍSTICAS GENERALES;TeamPossessionsTimeMinutes;Posesión del Balón (Min);Sevilla FC;Total Partido;26;;;;38;11113
ESTADÍSTICAS GENERALES;TeamPossessionsTimeSeconds;Posesión del Balón (Sec);UD Las Palmas;Total Partido;45;;;;62;11113
ESTADÍSTICAS GENERALES;TeamPossessionsTimeSeconds;Posesión del Balón (Sec);Sevilla FC;Total Partido;27;;;;38;11113
ESTADÍSTICAS GENERALES;TeamYellowCards1T;Tarjetas Amarillas (Nº);UD Las Palmas;1P;0;;;;62;11113
ESTADÍSTICAS GENERALES;TeamYellowCards1T;Tarjetas Amarillas (Nº);Sevilla FC;1P;1;;;;38;11113
ESTADÍSTICAS GENERALES;TeamSentOff1T;Tarjetas Rojas (Nº);UD Las Palmas;1P;0;;;;62;11113
ESTADÍSTICAS GENERALES;TeamSentOff1T;Tarjetas Rojas (Nº);Sevilla FC;1P;0;;;;38;11113
ESTADÍSTICAS GENERALES;TeamYellowCards2T;Tarjetas Amarillas (Nº);UD Las Palmas;2P;2;;;;62;11113
ESTADÍSTICAS GENERALES;TeamYellowCards2T;Tarjetas Amarillas (Nº);Sevilla FC;2P;1;;;;38;11113
ESTADÍSTICAS GENERALES;TeamSentOff2T;Tarjetas Rojas (Nº);UD Las Palmas;2P;0;;;;62;11113
ESTADÍSTICAS GENERALES;TeamSentOff2T;Tarjetas Rojas (Nº);Sevilla FC;2P;0;;;;38;11113
ESTADÍSTICAS GENERALES;TeamYellowCards;Tarjetas Amarillas (Nº);UD Las Palmas;Total Partido;2;;;;62;11113
ESTADÍSTICAS GENERALES;TeamYellowCards;Tarjetas Amarillas (Nº);Sevilla FC;Total Partido;2;;;;38;11113
ESTADÍSTICAS GENERALES;TeamSentOff;Tarjetas Rojas (Nº);UD Las Palmas;Total Partido;0;;;;62;11113
ESTADÍSTICAS GENERALES;TeamSentOff;Tarjetas Rojas (Nº);Sevilla FC;Total Partido;0;;;;38;11113
ESTADÍSTICAS GENERALES;MatchEffectiveTime1T;Tiempo Efectivo Eventing (min.);UD Las Palmas;1P;24,8;;;;62;11113
ESTADÍSTICAS GENERALES;MatchEffectiveTime1T;Tiempo Efectivo Eventing (min.);Sevilla FC;1P;24,8;;;;38;11113
ESTADÍSTICAS GENERALES;MatchEffectiveTime2T;Tiempo Efectivo Eventing (min.);UD Las Palmas;2P;29,233333333333334;;;;62;11113
ESTADÍSTICAS GENERALES;MatchEffectiveTime2T;Tiempo Efectivo Eventing (min.);Sevilla FC;2P;29,233333333333334;;;;38;11113
